State,Region,Corn_Production,Farms
Iowa,Corn Belt,2740500000,86900
Illinois,Corn Belt,2255650000,71000
Nebraska,Northern Plains,1699900000,47400
Minnesota,Lake States,1544000000,73200
Indiana,Corn Belt,946310000,56800
South Dakota,Northern Plains,825930000,31000
Kansas,Northern Plains,698640000,59600
Wisconsin,Lake States,573160000,68500
Missouri,Corn Belt,570500000,97300
Ohio,Corn Belt,524700000,73600
North Dakota,Northern Plains,516660000,29900
Michigan,Lake States,320280000,50900
Kentucky,Appalachian,222600000,75800
Colorado,Mountain,160290000,33800
Arkansas,Delta States,127395000,42300
Tennessee,Appalachian,125330000,65900
Pennsylvania,Northeast,122550000,58000
North Carolina,Appalachian,121260000,47800
Mississippi,Delta States,119520000,35800
Louisiana,Delta States,90750000,26500
New York,Northeast,73530000,35500
Maryland,Northeast,60800000,12200
Georgia,Southeast,56100000,40900
Virginia,Appalachian,50320000,44300
South Carolina,Southeast,44450000,24300
Oklahoma,Southern Plains,42350000,77200
Alabama,Southeast,37800000,43600
Delaware,Northeast,27880000,2500
Washington,Pacific,19975000,35700
Idaho,Mountain,18800000,24300
California,Pacific,18500000,77100
Arizona,Mountain,10750000,19600
New Jersey ,Northeast,10295000,9100
Wyoming,Mountain,10143000,11400
Oregon,Pacific,8970000,34200
New Mexico,Mountain,6150000,24700
Florida,Southeast,5800000,47000
Montana ,Mountain,5500000,27100
Utah,Mountain,5075000,18200
West Virginia ,Appalachian,5075000,20400