Year,Country,Region,Value,Price
1997,USA,USA,1270,2.75
1998,USA,USA,1340,2.38
1999,USA,USA,1410,2.12
2000,USA,USA,1460,2.12
2001,USA,USA,1510,2.11
2002,USA,USA,1590,2.29
2003,USA,USA,1660,2.34
2004,USA,USA,1770,2.54
2005,USA,USA,2060,2.11
2006,USA,USA,2300,2.61
2007,USA,USA,2530,3.75
2008,USA,USA,2760,5.32
2009,USA,USA,2670,3.75
2010,USA,USA,2700,4.24
2011,USA,USA,2980,6.79
2012,USA,USA,3350,6.88
2013,USA,USA,3810,5.81
2014,USA,USA,4100,4.17
2015,USA,USA,4130,3.8
2016,USA,USA,4090,3.6
2017,USA,USA,4090,3.62